title,lang,source_name,format,category,cefr_level,license,text
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The late 19th century marks the start of psychology as a scientific enterprise.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Cartridge paper is the basic type of drawing paper sold in pads.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This is called the observer effect.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This was originally intended to provide a check on political power.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Different policies were applied in Albania and China which became more distanced from the Soviet Union.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,It is God’s free gift to the individual believer.
na,en,readme,sentence-level,reference,A1,CC BY SA NC 4.0,"And the little prince went away, puzzled."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"This is, to me, the loveliest and saddest landscape in the world."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The fifth planet was very strange.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"This has to be the start of a series, right?"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Didn't care much for the characters, the twist was so obvious, the writing just okay."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Reception staff friendly and helpful.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"When the rooms are finally updated, this place could be top-notch."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"!The hotel was so quiet, clean and unique in its layout and decorum!"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"To be honest, by now I didn't really care."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This film does have its good points.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,This wonderful story takes you back to a more simple time and brings back memories for both old and young.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Customer service did seem to be nice though, but I regret missing my return date for these."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Two of the glasses were broken when I opened the package.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Very very poor quality and expensive!
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"Hold this position for one minute, rest, and repeat two more times."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Flip and repeat so it becomes lightly browned on both sides.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"They can also be mixed in the pan, but it's a little tricky not to spill."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"In large saucepan, combine sugar, margarine and evaporated milk."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,Remove onion and bay leaf.
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"While charging, the device and the charger may become hot and stop charging."
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,The program is conducted online in its entirety
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"In addition, the program provides the means for athletes to participate in appropriate recreational activities geared to their ability levels"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,"The same holds for agricultural investments, but in this case the eﬀect is weaker statistically"
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,A man wearing sunglasses and a cap lies on a metal bench outside to do a stomach exercise .
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,A man carries a baby in a big city .
na,en,readme,sentence-level,reference,A2,CC BY SA NC 4.0,A woman in a pink shirt and knee pads is playing volleyball .
