english,hsk_level,chinese,pinyin
I feel very sleepy.,2,我觉得很困。,wǒ jué de hěn kùn。
You did a good job.,2,你干得很好。,nǐ gàn de hěn hào。
Dinner is on me.,2,晚饭我请客。,wǎn fàn wǒ qǐng kè。
I've no small change.,2,我没有零钱.,wǒ méi yǒu líng qián.
I'll be right with you.,2,我马上就来。,wǒ mǎ shàng jiù lái。
I am a technician.,2,我是技术员。,wǒ shì jì shù yuán。
He is in the third grade.,2,他读三年级。,tā dú sān nián jí。
"Look this way, please.",2,请往这边看.,qǐng wàng zhè biān kàn.
I'm no good.,2,我一点儿也不行。,wǒ yī diǎnr yě bù xìng。
Everything will be OK.,2,一切都会好的。,yī qiè dū huì hǎo de。
He has taken leave of me.,2,他向我告别。,tā xiàng wǒ gào bié。
I'm not feeling well.,2,我感觉不舒服。,wǒ gǎn jué bù shū fu。
He lives by his pen.,2,他以写作为生。,tā yǐ xiě zuò wéi shēng。
I remember quite clearly.,2,我记得很清楚。,wǒ jì de hěn qīng chu。
"This way please, madam.",2,这边请，夫人。,zhè biān qǐng， fū ren。
The wind is in the southeast.,2,东南部有风。,dōng nán bù yǒu fēng。
His hat isn't on straight.,2,他的帽子没戴正.,tā de mào zi mò dài zhèng.
Take Jiangxi for example.,2,比如说江西吧。,bǐ rú shuō jiāng xī ba。
He is my senior by two years.,2,他比我大两岁。,tā bì wǒ dà liǎng suì。
I miss you very much.,2,我非常想念你。,wǒ fēi cháng xiǎng niàn nǐ。
Sit beside your sister.,2,坐在你妹妹旁边.,zuò zài nǐ mèi mei páng biān.
She parcelled up the books.,2,她把书包了起来.,tā bǎ shū bāo le qǐ lai.
Please be punctual in futurity.,2,今后请准时。,jīn hòu qǐng zhǔn shí。
Please be punctual in futurity.,2,今后请准时。,jīn hòu qǐng zhǔn shí。
You will have to wait and see.,2,你得等一等看。,nǐ de děng yī děng kàn。
All man are born equal.,2,人人生而平等。,rén rén shēng ér píng děng。
Think nothing of it.,2,没什么大不了的。,mò shén me dà bù liǎo de。
I go there for a haircut.,2,我到那里去理发。,wǒ dào nà li qù lǐ fà。
Forget it.,2,算了，别放在心上。,suàn le， biè fàng zài xīn shàng。
It is a quarter to five.,2,现在五点差一刻。,xiàn zài wǔ diǎn cī yī kè。
A cube has six surfaces.,2,立方体有六个面.,lì fāng tǐ yǒu liù gè miàn.
You should study hard.,2,你应该努力读书。,nǐ yīng gāi nǔ lì dú shū。
I met him in the street.,2,我在街上遇到他。,wǒ zài jiē shàng yù dào tā。
He asked me to inquire after you.,2,他要我问候你。,tā yào wǒ wèn hòu nǐ。
(There must be) No talking in here!,2,这儿不许讲话。,zhèr bù xǔ jiǎng huà。
You want to be more careful.,2,你应该再细心些.,nǐ yīng gāi zài xì xīn xiē.
He's my equal in strength.,2,他和我力气一样大.,tā huò wǒ lì qi yí yàng dà.
The child will be six.,2,那孩子将满六岁了。,nà hái zi jiàng mǎn liù suì le。
She has nipped out to the bank.,2,她急忙去银行了.,tā jí máng qù yín háng le.
She kind of/sort of likes him.,2,她有点儿喜欢他.,tā yǒu diǎn er xǐ huan tā.
He is forward in his English.,2,他的英语有进步。,tā de Yīng yǔ yǒu jìn bù。
That's really not necessary.,2,这真的没有必要。,zhè zhēn de méi yǒu bì yào。
It is a moving film.,2,这是部动人的影片。,zhè shì bù dòng rén de yǐng piàn。
The bottle is full of water.,2,瓶子里装满了水。,píng zi lǐ zhuāng mǎn le shuǐ。
The next chapter deals with verbs.,2,下一章讨论动词.,xià yī zhāng tǎo lùn dòng cí.
She is an industrial designer.,2,她是工业设计师。,tā shì gōng yè shè jì shī。
She was quite adamant that she would not come.,2,她坚决不来。,tā jiān jué bù lái。
The ship is outward bound.,2,那船是开往外地的.,nà chuán shì kāi wàng wài dì de.
I'm feeling blue today.,2,我今天的心情不好。,wǒ jīn tiān de xīn qíng bù hǎo。
My mother is a teacher.,2,我母亲是一位教师。,wǒ mǔ qīn shì yī wèi jiào shī。
Overhead the stars were out.,2,天上星星出来了。,tiān shàng xīng xing chū lai le。
This dress doesn't fit me.,2,这件衣服不适合我。,zhè jiàn yī fu bù shì hé wǒ。
"He's not a technician, either.",2,他也不是技术员。,tā yě bù shì jì shù yuán。
It doesn't matter at all.,2,这根本没什么关系。,zhè gēn běn mò shén me guān xi。
It makes no difference to me.,2,这对我没什么差别。,zhè duì wǒ mò shén me chā bié。
I am not in the vein for work.,2,我没有心情工作。,wǒ méi yǒu xīn qíng gōng zuò。
It's not at all that bad.,2,这根本没有那么坏。,zhè gēn běn méi yǒu nà me huài。
Old people are sometimes forgetful.,2,老人有时爱忘事.,lǎo rén yǒu shí ài wàng shì.
He paid scant attention to what was said.,2,他没怎么听讲。,tā mò zěn me tīng jiǎng。
You need not have got up so early.,2,你不必起得那么早。,nǐ bù bì qǐ de nà me zǎo。
I'm no good at dancing.,2,我跳舞一点儿也不行。,wǒ tiào wǔ yī diǎnr yě bù xìng。
"Write your name in block capitals, please.",2,姓名请用大写.,xìng míng qǐng yòng dà xiě.
Take special care of it.,2,对这东西要特别细心.,duì zhè dōng xi yào tè bié xì xīn.
We travelled all over the country.,2,我们游遍全国各地.,wǒ men yóu biàn quán guó gè dì.
The surface of the lake is quite still.,2,湖面相当平静。,hú miàn xiāng dāng píng jìng。
We trooped into the meeting.,2,我们一起走进会场。,wǒ men yī qǐ zǒu jìn huì chǎng。
My knowledge of Japanese is rather poor.,2,我的日语相当差。,wǒ de rì yǔ xiāng dāng cī。
The plan has a triple purpose.,2,该计划有三个目的。,gāi jì huà yǒu sān gè mù dì。
Nobody looks after the invalid.,2,没人照顾这个病人。,mò rén zhào gu zhè gè bìng rén。
Be careful when you cross the road.,2,过马路时要当心。,guò mǎ lù shí yào dāng xīn。
He deliberately absented himself from the meeting.,2,他故意不到会.,tā gù yì bù dào kuài.
I'm really going to miss you.,2,我真的会想念你的。,wǒ zhēn de kuài xiǎng niàn nǐ de。
She arrive earlier than the others.,2,她比其它人到得早。,tā bì qí tā rén dào de zǎo。
